P|Start|0|Prolog1SL|당신은 평범한 19살 청년입니다.^당신은 평소와 같이 자기전에 컴퓨터 게임을 하고 있었습니다.^그리고 평소와 같이 잠을 자기 위해서 침대에 누웠습니다.^그 때 당신은 왠지 모를 위화감이 들었습니다.^하지만 피곤한 당신은 금세 잠이 들었습니다.
R|Prolog1|0|Prolog2SL|잠시 후 당신이 눈을 떴을 때는 낯선 풍경에 둘러싸여 있었습니다.^당신은 잠이 덜 깼나 싶어서 뺨을 몇대 쳐보지만 아무것도 바뀌지 않았습니다.^그렇게 무슨 상황인지 어리둥절하고있던 당신은 갑자기 머리가 아파옵니다.
R|Prolog2|0|Prolog3SL|당신은 머리를 부여잡고 고통을 참았습니다.^고통이 사그라들무렵 당신은 당신의 머리에 새로운 기억들이 들어왔다는 사실을 깨달았습니다.^그 기억은 내가 다른세계에 소환되었다는 것이고, 그 세계에 닥친 위기를 해결하고 구원자가 되면 원래세계로 돌아갈 수 있다는 것이었습니다.
R|Prolog3|0|NextSL|일단 당신은 혼란스러운 머리속을 정리하고 한숨을 내쉰 뒤 뭐라도 찾아보기위해 발걸음을 내딛습니다.
Active|PeddlerMeet|3|PeddlerMeetSL|길을 가던 중 당신은 보따리를 짊어지고 이동하는 한 행상인을 만났습니다.^당신은 행상인과 거래를 할지 고민해보았습니다.
R|PeddlerTrade|0|PeddlerTradeSL|당신은 그 행상인과 거래를 하기로 결정했습니다.^과연 어떤 물품들을 가지고 있을까요?
R|PaddlerTradeEnd|0|NextSL|당신은 거래를 마치고 계속해서 이동합니다.
R|PeddlerIg|0|NextSL|당신은 왠지 수상해 보이는 그 행상인과 거래를 하지 않기로 결정했습니다.^당신은 계속 발걸음을 내딛습니다.
Active|RockRest|3|RockRestSL|조금 지친 당신은 나무 그늘이 진 앉아있기 좋은 바위 하나를 발견합니다.^당신은 조금 쉬다가는건 어떨지 고민해봅니다.
R|RockRestS|5|NextSL|당신은 조금 쉬다가기로 결정합니다. 그늘진 바위에 앉아서 조금 쉬니 다시 기운이 나는 것 같습니다. 당신은 충분히 휴식을 취한뒤 길을 나섭니다.
R|RockRestApple|2|NextSL|당신은 조금 쉬다가기로 결정합니다. 그늘진 바위에 앉아서 쉬고 있는데 갑자기 머리에 무언가 부딫히는 느낌이 듭니다.^깜짝 놀라서 확인해보니 잘 익은 사과였습니다.^사과가 떨어지는 바람에 제대로 쉬지는 못했지만 당신은 사과 하나를 얻었습니다.
R|RockRestBug|2|NextSL|당신은 조금 쉬다가기로 결정합니다. 그늘진 바위에 앉아서 쉬고 있는데 갑자기 머리에 무언가 부딫히는 느낌이 듭니다.^깜짝 놀라서 확인해보니 징그럽게 생긴 벌레였습니다.^당신은 기분도 상하고 제대로 쉬지도 못한채 다시 길을 나섭니다.
R|RockRestF|0|NextSL|당신은 쉬지 않기로 결정하고 계속해서 이동합니다.
Active|SmokeFind|3|SmokeFindSL|길을 가던 중 멀리서 연기가 나는 것을 발견합니다.^당신은 어떻게 할지 고민합니다.
R|SmokeIg|0|NextSL|당신은 연기를 무시하기로 했습니다.
SmokeCare|CabinBurnF|2|NextSL|당신은 조심히 다가가보기로 합니다.^조심히 연기가 나는 쪽으로 다가가보니 오두막이 불타고 있었습니다.^하지만 조심히 다가가느라 늦어서 불을 막지 못했습니다.^혹시나 해서 오두막을 살펴보았지만 잿더미만 남아있습니다.^어쩔 수 없이 당신은 가던 길을 갑니다.
SmokeCare|HunterFindS|2|HunterFindSL|당신은 조심히 다가가보기로 합니다.^조심히 연기가 나는 쪽으로 가보니 험악하게 생긴 사냥꾼이 고기를 구워먹고 있었습니다.^당신은 고민에 빠집니다.
SmokeCare|CabinFind|4|CabinSL|당신은 조심히 다가가보기로 합니다.^조심히 연기가 나는 쪽으로 가보니 오두막의 굴뚝에서 나는 연기였습니다.^안에 사람이 있는 것 같은데 문을 두드려 볼지 고민해봅니다.
R|CabinIg|0|NextSL|당신은 오두막을 무시하고 갈길을 가기로 결정했습니다.
R|HunterTalkS|0|NextSL|조심히 다가가서 말을 걸자 사냥꾼은 반갑게 맞이해주며 고기를 한점 주었습니다.^당신은 사냥꾼과 즐겁게 대화를 하며 휴식을 취한 뒤 다시 길을 나섭니다.
